tool,operation,pattern,status,file formats,website_url,github_repo,notes,vendor_group,vendor_libs
asf to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".asf,.mjpeg",,,,,
asf to mkv,convert,"x to y, convert x to y",onsite-unverified,".asf,.mkv",,,,,
asf to mov,convert,"x to y, convert x to y",onsite-unverified,".asf,.mov",,,,,
asf to mp2,convert,"x to y, convert x to y",onsite-verified,".asf,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to mp3,convert,"x to y, convert x to y",onsite-verified,".asf,.mp3",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to mp4,convert,"x to y, convert x to y",onsite-unverified,".asf,.mp4",,,,,
asf to mpeg,convert,"x to y, convert x to y",onsite-unverified,".asf,.mpeg",,,,,
asf to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".asf,.mpeg2",,,,,
asf to mpg,convert,"x to y, convert x to y",onsite-unverified,".asf,.mpg",,,,,
asf to mts,convert,"x to y, convert x to y",onsite-unverified,".asf,.mts",,,,,
asf to mxf,convert,"x to y, convert x to y",onsite-unverified,".asf,.mxf",,,,,
asf to oga,convert,"x to y, convert x to y",onsite-verified,".asf,.oga",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to ogg,convert,"x to y, convert x to y",onsite-verified,".asf,.ogg",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to opus,convert,"x to y, convert x to y",onsite-verified,".asf,.opus",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to rm,convert,"x to y, convert x to y",onsite-unverified,".asf,.rm",,,,,
asf to rmvb,convert,"x to y, convert x to y",onsite-unverified,".asf,.rmvb",,,,,
asf to ts,convert,"x to y, convert x to y",onsite-unverified,".asf,.ts",,,,,
asf to vob,convert,"x to y, convert x to y",onsite-unverified,".asf,.vob",,,,,
asf to wav,convert,"x to y, convert x to y",onsite-verified,".asf,.wav",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to webm,convert,"x to y, convert x to y",onsite-unverified,".asf,.webm",,,,,
asf to wma,convert,"x to y, convert x to y",onsite-verified,".asf,.wma",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
au to aac,convert,"x to y, convert x to y",onsite-unverified,".au,.aac",,,,,
au to aiff,convert,"x to y, convert x to y",onsite-unverified,".au,.aiff",,,,,
au to alac,convert,"x to y, convert x to y",onsite-unverified,".au,.alac",,,,,
au to amr,convert,"x to y, convert x to y",onsite-unverified,".au,.amr",,,,,
au to caf,convert,"x to y, convert x to y",onsite-unverified,".au,.caf",,,,,
au to cdda,convert,"x to y, convert x to y",onsite-unverified,".au,.cdda",,,,,
au to flac,convert,"x to y, convert x to y",onsite-unverified,".au,.flac",,,,,
au to m4a,convert,"x to y, convert x to y",onsite-unverified,".au,.m4a",,,,,
au to m4r,convert,"x to y, convert x to y",onsite-unverified,".au,.m4r",,,,,
au to mp2,convert,"x to y, convert x to y",onsite-unverified,".au,.mp2",,,,,
au to mp3,convert,"x to y, convert x to y",onsite-unverified,".au,.mp3",,,,,
au to oga,convert,"x to y, convert x to y",onsite-unverified,".au,.oga",,,,,
au to ogg,convert,"x to y, convert x to y",onsite-unverified,".au,.ogg",,,,,
au to opus,convert,"x to y, convert x to y",onsite-unverified,".au,.opus",,,,,
au to wav,convert,"x to y, convert x to y",onsite-unverified,".au,.wav",,,,,
au to wma,convert,"x to y, convert x to y",onsite-unverified,".au,.wma",,,,,
audio to text,convert,"x to y, convert x to y",onsite-unverified,,,,Prod YouTube URL ingest blocked (bot check).,,
audio to transcript,convert,"x to y, convert x to y",onsite-unverified,,,,Prod YouTube URL ingest blocked (bot check).,,
av1 to 3gp,convert,"x to y, convert x to y",onsite-unverified,".av1,.3gp",,,,,
av1 to aac,convert,"x to y, convert x to y",in-progress,".av1,.aac",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to aiff,convert,"x to y, convert x to y",in-progress,".av1,.aiff",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to alac,convert,"x to y, convert x to y",in-progress,".av1,.alac",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to amr,convert,"x to y, convert x to y",in-progress,".av1,.amr",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to asf,convert,"x to y, convert x to y",onsite-unverified,".av1,.asf",,,,,
av1 to au,convert,"x to y, convert x to y",in-progress,".av1,.au",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to avchd,convert,"x to y, convert x to y",onsite-unverified,".av1,.avchd",,,,,
av1 to avi,convert,"x to y, convert x to y",onsite-unverified,".av1,.avi",,,,,
av1 to caf,convert,"x to y, convert x to y",in-progress,".av1,.caf",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to cdda,convert,"x to y, convert x to y",in-progress,".av1,.cdda",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to divx,convert,"x to y, convert x to y",onsite-unverified,".av1,.divx",,,,,
av1 to f4v,convert,"x to y, convert x to y",onsite-unverified,".av1,.f4v",,,,,
av1 to flac,convert,"x to y, convert x to y",in-progress,".av1,.flac",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to flv,convert,"x to y, convert x to y",onsite-unverified,".av1,.flv",,,,,
av1 to gif,convert,"x to y, convert x to y",onsite-unverified,".av1,.gif",,,,,
av1 to hevc,convert,"x to y, convert x to y",onsite-unverified,".av1,.hevc",,,,,
av1 to m2ts,convert,"x to y, convert x to y",onsite-unverified,".av1,.m2ts",,,,,
av1 to m4a,convert,"x to y, convert x to y",in-progress,".av1,.m4a",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to m4r,convert,"x to y, convert x to y",in-progress,".av1,.m4r",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
av1 to m4v,convert,"x to y, convert x to y",onsite-unverified,".av1,.m4v",,,,,
av1 to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".av1,.mjpeg",,,,,
av1 to mkv,convert,"x to y, convert x to y",onsite-unverified,".av1,.mkv",,,,,
av1 to mov,convert,"x to y, convert x to y",onsite-unverified,".av1,.mov",,,,,
av1 to mp2,convert,"x to y, convert x to y",in-progress,".av1,.mp2",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
