tool,operation,pattern,status,file formats,website_url,github_repo
jpeg to jpeg,convert,jpeg-to-jpeg,in-progress,".jpeg,.jpeg",,
eps to tiff,convert,eps-to-tiff,in-progress,".eps,.tiff",,
bmp to tiff,convert,bmp-to-tiff,in-progress,".bmp,.tiff",,
jpg to cur,convert,jpg-to-cur,in-progress,".jpg,.cur",,
bmp to gif,convert,bmp-to-gif,in-progress,".bmp,.gif",,
dds to jpeg,convert,dds-to-jpeg,in-progress,".dds,.jpeg",,
gif to cur,convert,gif-to-cur,in-progress,".gif,.cur",,
gif to tiff,convert,gif-to-tiff,in-progress,".gif,.tiff",,
jpeg to tif,convert,jpeg-to-tif,in-progress,".jpeg,.tif",,
tiff to eps,convert,tiff-to-eps,in-progress,".tiff,.eps",,
ai to tiff,convert,ai-to-tiff,in-progress,".ai,.tiff",,
bmp to dds,convert,bmp-to-dds,in-progress,".bmp,.dds",,
jpeg to tga,convert,jpeg-to-tga,in-progress,".jpeg,.tga",,
psd to webp,convert,psd-to-webp,in-progress,".psd,.webp",,
tif to tiff,convert,tif-to-tiff,in-progress,".tif,.tiff",,
ai to gif,convert,ai-to-gif,in-progress,".ai,.gif",,
bmp to eps,convert,bmp-to-eps,in-progress,".bmp,.eps",,
bmp to tga,convert,bmp-to-tga,in-progress,".bmp,.tga",,
bmp to tif,convert,bmp-to-tif,in-progress,".bmp,.tif",,
cur to gif,convert,cur-to-gif,in-progress,".cur,.gif",,
eps to ico,convert,eps-to-ico,in-progress,".eps,.ico",,
eps to webp,convert,eps-to-webp,in-progress,".eps,.webp",,
gif to tif,convert,gif-to-tif,in-progress,".gif,.tif",,
ico to tga,convert,ico-to-tga,in-progress,".ico,.tga",,
svg to tga,convert,svg-to-tga,in-progress,".svg,.tga",,
svg to tif,convert,svg-to-tif,in-progress,".svg,.tif",,
webp to webp,convert,webp-to-webp,in-progress,".webp,.webp",,
ai to bmp,convert,ai-to-bmp,in-progress,".ai,.bmp",,
ai to cur,convert,ai-to-cur,in-progress,".ai,.cur",,
ai to dds,convert,ai-to-dds,in-progress,".ai,.dds",,
ai to ico,convert,ai-to-ico,in-progress,".ai,.ico",,
ai to tga,convert,ai-to-tga,in-progress,".ai,.tga",,
ai to tif,convert,ai-to-tif,in-progress,".ai,.tif",,
ai to webp,convert,ai-to-webp,in-progress,".ai,.webp",,
bmp to bmp,convert,bmp-to-bmp,in-progress,".bmp,.bmp",,
bmp to cur,convert,bmp-to-cur,in-progress,".bmp,.cur",,
cur to cur,convert,cur-to-cur,in-progress,".cur,.cur",,
cur to dds,convert,cur-to-dds,in-progress,".cur,.dds",,
cur to eps,convert,cur-to-eps,in-progress,".cur,.eps",,
cur to ico,convert,cur-to-ico,in-progress,".cur,.ico",,
cur to jpeg,convert,cur-to-jpeg,in-progress,".cur,.jpeg",,
cur to jpg,convert,cur-to-jpg,in-progress,".cur,.jpg",,
cur to svg,convert,cur-to-svg,in-progress,".cur,.svg",,
cur to tga,convert,cur-to-tga,in-progress,".cur,.tga",,
cur to tif,convert,cur-to-tif,in-progress,".cur,.tif",,
cur to tiff,convert,cur-to-tiff,in-progress,".cur,.tiff",,
cur to webp,convert,cur-to-webp,in-progress,".cur,.webp",,
dds to dds,convert,dds-to-dds,in-progress,".dds,.dds",,
dds to eps,convert,dds-to-eps,in-progress,".dds,.eps",,
dds to gif,convert,dds-to-gif,in-progress,".dds,.gif",,
dds to ico,convert,dds-to-ico,in-progress,".dds,.ico",,
dds to svg,convert,dds-to-svg,in-progress,".dds,.svg",,
dds to tif,convert,dds-to-tif,in-progress,".dds,.tif",,
dds to tiff,convert,dds-to-tiff,in-progress,".dds,.tiff",,
dds to webp,convert,dds-to-webp,in-progress,".dds,.webp",,
eps to eps,convert,eps-to-eps,in-progress,".eps,.eps",,
eps to gif,convert,eps-to-gif,in-progress,".eps,.gif",,
eps to tga,convert,eps-to-tga,in-progress,".eps,.tga",,
eps to tif,convert,eps-to-tif,in-progress,".eps,.tif",,
ico to ico,convert,ico-to-ico,in-progress,".ico,.ico",,
ico to tif,convert,ico-to-tif,in-progress,".ico,.tif",,
ico to tiff,convert,ico-to-tiff,in-progress,".ico,.tiff",,
tga to tga,convert,tga-to-tga,in-progress,".tga,.tga",,
tga to tif,convert,tga-to-tif,in-progress,".tga,.tif",,
tga to tiff,convert,tga-to-tiff,in-progress,".tga,.tiff",,
tga to webp,convert,tga-to-webp,in-progress,".tga,.webp",,
tif to tif,convert,tif-to-tif,in-progress,".tif,.tif",,
tiff to tiff,convert,tiff-to-tiff,in-progress,".tiff,.tiff",,
