tool,kd,sv,gsv,tp,gtp,processed_in,operation,status,engine_group,
heic to jpg,28,"226,000",1070000,380000,964000,not_in_browser,convert,,libheif + canvas,
webp to png,9,"193,000",1140000,86000,566000,,convert,,canvas/wasm (image convert),
mp4 to mp3,53,"156,000",934000,250000,1320000,,convert,,ffmpeg (video/audio),
webp to jpg,34,"121,000",1340000,122000,396000,,convert,,canvas/wasm (image convert),
mp4 to gif,47,"102,000",383000,246000,600000,,convert,,ffmpeg (video/audio),
png to pdf,16,"102,000",924000,128000,452000,,convert,,pdfjs/pdf-lib (pdf <-> images),
pdf to png,7,"84,000",686000,125000,699000,,convert,,pdfjs/pdf-lib (pdf <-> images),
video to gif,37,"75,000",259000,246000,600000,not_in_browser,convert,,ffmpeg (video/audio),
epub to pdf,31,"66,000",412000,48000,238000,,convert,,libreoffice (office/pdf),
png to jpg,50,"63,000",711000,92000,825000,,convert,,canvas/wasm (image convert),
m4a to mp3,28,"62,000",258000,41000,152000,,convert,,ffmpeg (video/audio),
mov to mp4,12,"52,000",292000,75000,264000,,convert,,ffmpeg (video/audio),
wav to mp3,16,"48,000",189000,27000,101000,,convert,,ffmpeg (video/audio),
heic to png,7,"42,000",163000,15000,75000,not_in_browser,convert,,libheif + canvas,
mp3 to wav,12,"41,000",156000,65000,178000,,convert,,ffmpeg (video/audio),
docx to pdf,42,"40,000",335000,300000,6630000,,convert,,libreoffice (office/pdf),
jpeg to pdf,73,"39,000",723000,275000,11080000,,convert,,pdfjs/pdf-lib (pdf <-> images),
jpg to png,39,"39,000",478000,31000,418000,,convert,,canvas/wasm (image convert),
png to svg,60,"39,000",226000,64000,182000,,convert,,canvas/wasm (image convert),
mkv to mp4,6,"38,000",192000,27000,117000,,convert,,ffmpeg (video/audio),
svg to png,23,"36,000",275000,27000,255000,,convert,,canvas/wasm (image convert),
doc to pdf,64,"35,000",464000,300000,6630000,,convert,,libreoffice (office/pdf),
pdf to jpeg,68,"35,000",531000,297000,6240000,,convert,,pdfjs/pdf-lib (pdf <-> images),
webm to mp4,17,"35,000",173000,19000,107000,,convert,,ffmpeg (video/audio),
avif to jpg,9,"34,000",480000,18000,205000,,convert,,canvas/wasm (image convert),
image to pdf,64,"34,000",1880000,255000,10970000,,convert,,pdfjs/pdf-lib (pdf <-> images),
gif to mp4,28,"33,000",117000,44000,116000,,convert,,ffmpeg (video/audio),
heic to pdf,2,"33,000",106000,21000,39000,not_in_browser,convert,,pdfjs/pdf-lib (pdf <-> images),
webp to gif,7,"33,000",112000,43000,108000,,convert,,canvas/wasm (image convert),
jfif to jpg,4,"28,000",268000,28000,206000,,convert,,canvas/wasm (image convert),
avif to png,3,"27,000",226000,12000,94000,,convert,,canvas/wasm (image convert),
pdf to ppt,24,"27,000",611000,70000,1080000,,convert,,libreoffice (office/pdf),
png to ico,43,"27,000",182000,14000,96000,,convert,,canvas/wasm (image convert),
pdf to docx,35,"23,000",186000,31000,85000,,convert,,libreoffice (office/pdf),
m4a to wav,0,"19,000",60000,10000,31000,,convert,,ffmpeg (video/audio),
heic to jpeg,39,"18,000",76000,380000,963000,not_in_browser,convert,,libheif + canvas,
mp3 to mp4,12,"17,000",69000,11000,54000,,convert,,ffmpeg (video/audio),
mp4 to wav,6,"17,000",66000,9300,33000,,convert,,ffmpeg (video/audio),
mov to mp3,3,"16,000",42000,14000,26000,,convert,,ffmpeg (video/audio),
mp3 to ogg,8,"16,000",48000,21000,37000,,convert,,ffmpeg (video/audio),
ogg to mp3,8,"14,000",102000,7000,47000,,convert,,ffmpeg (video/audio),
ppt to pdf,24,"13,000",542000,42000,906000,,convert,,libreoffice (office/pdf),
pptx to pdf,8,"13,000",168000,42000,906000,,convert,,libreoffice (office/pdf),
html to pdf,37,"12,000",119000,9400,71000,,convert,,pdf toolkit (pdf-lib/ghostscript),
mp4 to webm,7,"12,000",40000,2600,22000,,convert,,ffmpeg (video/audio),
pdf to epub,17,"12,000",91000,8200,53000,,convert,,libreoffice (office/pdf),
png to jpeg,21,"12,000",80000,92000,825000,,convert,,canvas/wasm (image convert),
rar to zip,66,"12,000",79000,15000,51000,,convert,,zip.js (archive),
webp to jpeg,34,"10,000",74000,122000,396000,,convert,,canvas/wasm (image convert),
jpg to svg,57,"9,600",49000,8500,35000,,convert,,canvas/wasm (image convert),
pdf to text,60,"9,600",77000,24000,107000,,convert,,pdf toolkit (pdf-lib/ghostscript),
avi to mp4,11,"9,400",52000,7400,35000,,convert,,ffmpeg (video/audio),
gif to png,5,"9,400",36000,9700,27000,,convert,,canvas/wasm (image convert),
mp4 to mov,9,"9,400",50000,16000,57000,,convert,,ffmpeg (video/audio),
djvu to pdf,7,"8,400",62000,8200,36000,,convert,,pdf toolkit (pdf-lib/ghostscript),
epub to mobi,12,"8,200",53000,9500,44000,,convert,,unknown/needs review,
jpeg to png,42,"8,100",105000,9700,64000,,convert,,canvas/wasm (image convert),
flac to mp3,8,"7,600",28000,4800,14000,,convert,,ffmpeg (video/audio),
jpeg to jpg,46,"7,100",411000,12000,503000,,convert,,canvas/wasm (image convert),
mov to gif,12,"6,800",28000,7600,22000,,convert,,ffmpeg (video/audio),
png to webp,25,"6,600",175000,3800,104000,,convert,,canvas/wasm (image convert),
webm to gif,9,"6,600",20000,5500,14000,,convert,,ffmpeg (video/audio),
dds to png,0,"5,900",21000,1700,6500,,convert,,canvas/wasm (image convert),
pages to pdf,12,"5,900",56000,9500,61000,,convert,,pdf toolkit (pdf-lib/ghostscript),
jpg to webp,32,"5,400",114000,2700,60000,,convert,,canvas/wasm (image convert),
mkv to mp3,0,"5,200",20000,1700,7700,,convert,,ffmpeg (video/audio),
jfif to png,1,"5,100",55000,5300,24000,,convert,,canvas/wasm (image convert),
wmv to mp4,6,"5,100",31000,7000,28000,,convert,,ffmpeg (video/audio),
heif to jpg,1,"4,900",26000,2800,10000,,convert,,libheif + canvas,
svg to jpg,6,"4,900",41000,4200,24000,,convert,,canvas/wasm (image convert),
png to gif,9,"4,200",21000,4800,16000,,convert,,canvas/wasm (image convert),
midi to mp3,7,"4,100",9600,4400,6500,,convert,,ffmpeg (video/audio),
pdf to csv,4,"4,100",21000,4400,15000,,convert,,pdf toolkit (pdf-lib/ghostscript),
word to jpg,41,"4,100",423000,9000,342000,,convert,,canvas/wasm (image convert),
jpeg to svg,61,"4,000",14000,25000,54000,,convert,,canvas/wasm (image convert),
mpeg to mp3,3,"4,000",55000,3100,32000,,convert,,ffmpeg (video/audio),
tiff to pdf,1,"4,000",58000,6500,66000,,convert,,pdfjs/pdf-lib (pdf <-> images),
txt to pdf,5,"3,800",42000,4200,25000,,convert,,pdf toolkit (pdf-lib/ghostscript),
azw3 to pdf,5,"3,700",16000,3200,9500,,convert,,pdf toolkit (pdf-lib/ghostscript),
gif to jpg,11,"3,700",28000,2200,7800,,convert,,canvas/wasm (image convert),
odt to pdf,4,"3,600",46000,1700,8600,,convert,,libreoffice (office/pdf),
pdf to svg,22,"3,600",26000,3900,14000,,convert,,pdfjs/pdf-lib (pdf <-> images),
pdf to txt,9,"3,600",18000,2300,11000,,convert,,pdf toolkit (pdf-lib/ghostscript),
png to dds,0,"3,600",21000,2300,11000,,convert,,canvas/wasm (image convert),
jpg to jpeg,7,"3,400",139000,3200,76000,,convert,,canvas/wasm (image convert),
tiff to jpg,2,"3,200",22000,3700,15000,,convert,,canvas/wasm (image convert),
webm to mp3,3,"3,200",14000,3400,9100,,convert,,ffmpeg (video/audio),
7z to zip,12,"3,100",10000,1500,4300,,convert,,zip.js (archive),
rtf to pdf,3,"3,100",41000,2500,12000,,convert,,libreoffice (office/pdf),
svg to dxf,1,"3,100",11000,3300,7800,,convert,,canvas/wasm (image convert),
wma to mp3,4,"3,000",15000,4000,9300,,convert,,ffmpeg (video/audio),
m4a to mp4,1,"2,900",12000,3800,7200,,convert,,ffmpeg (video/audio),
mp3 to m4a,5,"2,900",11000,4100,9400,,convert,,ffmpeg (video/audio),
pages to word,6,"2,900",22000,5500,25000,,convert,,unknown/needs review,
pdf to html,17,"2,900",23000,2800,18000,,convert,,pdf toolkit (pdf-lib/ghostscript),
psd to png,5,"2,900",21000,3300,13000,,convert,,canvas/wasm (image convert),
epub to azw3,0,"2,800",9400,2600,6900,,convert,,unknown/needs review,
xlsx to pdf,34,"2,800",64000,16000,1450000,,convert,,libreoffice (office/pdf),
html to png,0,"2,700",17000,2800,8800,,convert,,canvas/wasm (image convert),
jpg to ico,7,"2,700",23000,2600,9600,,convert,,canvas/wasm (image convert),
wav to ogg,0,"2,700",5900,3000,3900,,convert,,ffmpeg (video/audio),
avif to jpeg,6,"2,600",36000,18000,203000,,convert,,canvas/wasm (image convert),
flv to mp4,7,"2,600",9800,4200,9400,,convert,,ffmpeg (video/audio),
hevc to mp4,3,"2,600",23000,2400,14000,,convert,,ffmpeg (video/audio),
mobi to pdf,5,"2,600",21000,1400,12000,,convert,,pdf toolkit (pdf-lib/ghostscript),
webp to pdf,0,"2,600",17000,1200,4900,,convert,,pdfjs/pdf-lib (pdf <-> images),
xlsx to csv,3,"2,600",26000,1300,14000,,convert,,client transforms (data/text),
csv to pdf,1,"2,500",18000,1900,8400,,convert,,pdf toolkit (pdf-lib/ghostscript),
eml to pdf,3,"2,500",24000,2500,18000,,convert,,pdf toolkit (pdf-lib/ghostscript),
eps to png,4,"2,500",14000,3400,9400,,convert,,canvas/wasm (image convert),
html to jpg,8,"2,500",37000,3900,38000,,convert,,canvas/wasm (image convert),
docx to doc,4,"2,400",18000,2900,12000,,convert,,unknown/needs review,
psd to jpg,6,"2,400",30000,2500,13000,,convert,,canvas/wasm (image convert),
cr2 to jpg,3,"2,300",20000,2700,13000,,convert,,imagemagick/libraw (raw photo),
svg to pdf,2,"2,300",21000,2100,9700,,convert,,pdfjs/pdf-lib (pdf <-> images),
eps to svg,2,"2,200",24000,2800,18000,,convert,,canvas/wasm (image convert),
pdf to mobi,6,"2,200",21000,1700,8900,,convert,,pdf toolkit (pdf-lib/ghostscript),
tif to jpg,2,"2,200",22000,1500,12000,,convert,,canvas/wasm (image convert),
m4v to mp4,0,"2,100",8200,1800,5100,,convert,,ffmpeg (video/audio),
mov to wav,0,"2,100",4200,2100,2700,,convert,,ffmpeg (video/audio),
pdf to pdf,83,"2,000",115000,306000,18550000,,convert,,pdf toolkit (pdf-lib/ghostscript),
azw3 to epub,1,"1,900",7700,800,2600,,convert,,unknown/needs review,
dng to jpg,1,"1,900",15000,1400,3100,,convert,,imagemagick/libraw (raw photo),
ico to png,6,"1,900",12000,800,5500,,convert,,canvas/wasm (image convert),
mp4 to ogg,2,"1,900",6700,800,2100,,convert,,ffmpeg (video/audio),
mpeg to mp4,3,"1,900",21000,4600,18000,,convert,,ffmpeg (video/audio),
amr to mp3,3,"1,800",4400,2000,3600,,convert,,ffmpeg (video/audio),
mobi to epub,2,"1,800",15000,1900,8800,,convert,,unknown/needs review,
mpg to mp4,1,"1,800",13000,1300,7900,,convert,,ffmpeg (video/audio),
vob to mp4,10,"1,800",11000,1900,6200,,convert,,ffmpeg (video/audio),
aiff to mp3,4,"1,700",6800,1200,3300,,convert,,ffmpeg (video/audio),
cbr to pdf,3,"1,700",11000,900,3600,,convert,,pdf toolkit (pdf-lib/ghostscript),
jpg to text,67,"1,700",82000,4000,202000,,convert,,canvas/wasm (image convert),
mp3 to m4r,2,"1,700",5100,2300,3900,,convert,push,ffmpeg (video/audio),
nef to jpg,5,"1,700",11000,1700,8000,,convert,,imagemagick/libraw (raw photo),
ogg to wav,0,"1,700",12000,2200,5600,,convert,,ffmpeg (video/audio),
png to dxf,0,"1,700",17000,2100,11000,,convert,,canvas/wasm (image convert),
ai to png,1,"1,600",13000,2100,9100,,convert,,canvas/wasm (image convert),
pdf to tiff,1,"1,600",21000,1500,10000,,convert,,pdfjs/pdf-lib (pdf <-> images),
png to text,60,"1,600",19000,123000,1440000,,convert,,canvas/wasm (image convert),
svg to ico,1,"1,600",16000,1500,9000,,convert,,canvas/wasm (image convert),
tif to png,1,"1,600",9200,3600,9800,,convert,,canvas/wasm (image convert),
webp to svg,0,"1,600",11000,800,2800,,convert,,canvas/wasm (image convert),
